DateTime,CoolingDemand_1,HeatingDemand_1,HeatingDemand_2,Elect
31-12-2018 23:00,71533.33333,352303.343,352303.343,1.00E-04
1-1-2019 00:00,71533.33762,136230.703,136230.703,1.00E-04
1-1-2019 01:00,71533.35048,37597.994,37597.994,1.00E-04
1-1-2019 02:00,71533.37192,17719.506,17719.506,1.00E-04
1-1-2019 03:00,71533.40193,44638.797,44638.797,1.00E-04
1-1-2019 04:00,71533.44051,279515.453,279515.453,1.00E-04
1-1-2019 05:00,71533.48767,1327856.089,1327856.089,1.00E-04
1-1-2019 06:00,71533.5434,2787901.417,2787901.417,1.00E-04
1-1-2019 07:00,71533.60771,3816420.685,3816420.685,1.00E-04
1-1-2019 08:00,71533.68059,4649427.013,4649427.013,1.00E-04
1-1-2019 09:00,71533.76205,3868951.751,3868951.751,1.00E-04
1-1-2019 10:00,71533.85208,3616363.87,3616363.87,1.00E-04
1-1-2019 11:00,71533.95068,4477829.678,4477829.678,1.00E-04
1-1-2019 12:00,71534.05786,3830850.73,3830850.73,1.00E-04
1-1-2019 13:00,71534.17361,3234955.696,3234955.696,1.00E-04
1-1-2019 14:00,71534.29794,3469644.71,3469644.71,1.00E-04
1-1-2019 15:00,71534.43084,3528966.14,3528966.14,1.00E-04
1-1-2019 16:00,71534.57231,3340634.514,3340634.514,1.00E-04
1-1-2019 17:00,71534.72236,3503856.055,3503856.055,1.00E-04
1-1-2019 18:00,71534.88098,3401150.263,3401150.263,1.00E-04
1-1-2019 19:00,71535.04817,3058852.216,3058852.216,1.00E-04
1-1-2019 20:00,71535.22394,2523884.671,2523884.671,1.00E-04
1-1-2019 21:00,71535.40828,1638967.253,1638967.253,1.00E-04
1-1-2019 22:00,71535.60119,782684.819,782684.819,1.00E-04
1-1-2019 23:00,71535.80268,338659.013,338659.013,1.00E-04
2-1-2019 00:00,71536.01274,135997.897,135997.897,1.00E-04
2-1-2019 01:00,71536.23137,44175.229,44175.229,1.00E-04
2-1-2019 02:00,71536.45858,24418.793,24418.793,1.00E-04
2-1-2019 03:00,71536.69436,63949.984,63949.984,1.00E-04
2-1-2019 04:00,71536.93871,310827.559,310827.559,1.00E-04
2-1-2019 05:00,71537.19163,1456075.705,1456075.705,1.00E-04
2-1-2019 06:00,71537.45313,2946268.43,2946268.43,1.00E-04
2-1-2019 07:00,71537.7232,3938568.683,3938568.683,1.00E-04
2-1-2019 08:00,71538.00184,4754035.447,4754035.447,1.00E-04
2-1-2019 09:00,71538.28905,3789642.115,3789642.115,1.00E-04
2-1-2019 10:00,71538.58484,3633225.505,3633225.505,1.00E-04
2-1-2019 11:00,71538.88919,4444585.341,4444585.341,1.00E-04
2-1-2019 12:00,71539.20212,3929631.02,3929631.02,1.00E-04
2-1-2019 13:00,71539.52362,3229710.428,3229710.428,1.00E-04
2-1-2019 14:00,71539.85369,3440446.611,3440446.611,1.00E-04
2-1-2019 15:00,71540.19233,3498345.305,3498345.305,1.00E-04
2-1-2019 16:00,71540.53954,3310034.56,3310034.56,1.00E-04
2-1-2019 17:00,71540.89532,3478176.842,3478176.842,1.00E-04
2-1-2019 18:00,71541.25967,3337680.339,3337680.339,1.00E-04
2-1-2019 19:00,71541.6326,3051018.579,3051018.579,1.00E-04
2-1-2019 20:00,71542.01409,2523787.665,2523787.665,1.00E-04
2-1-2019 21:00,71542.40415,1641204.943,1641204.943,1.00E-04
2-1-2019 22:00,71542.80279,775591.845,775591.845,1.00E-04
2-1-2019 23:00,71543.20999,335820.807,335820.807,1.00E-04
3-1-2019 00:00,71543.62576,138179.006,138179.006,1.00E-04
3-1-2019 01:00,71544.0501,45906.098,45906.098,1.00E-04
3-1-2019 02:00,71544.48301,28667.331,28667.331,1.00E-04
3-1-2019 03:00,71544.92449,67890.025,67890.025,1.00E-04
3-1-2019 04:00,71545.37453,323508.122,323508.122,1.00E-04
3-1-2019 05:00,71545.83315,1470798.966,1470798.966,1.00E-04
3-1-2019 06:00,71546.30033,3000547.165,3000547.165,1.00E-04
3-1-2019 07:00,71546.77608,4016830.951,4016830.951,1.00E-04
3-1-2019 08:00,71547.26039,4819191.349,4819191.349,1.00E-04
3-1-2019 09:00,71547.75328,3933915.664,3933915.664,1.00E-04
3-1-2019 10:00,71548.25473,2958081.189,2958081.189,1.00E-04
3-1-2019 11:00,71548.76475,4298126.378,4298126.378,1.00E-04
3-1-2019 12:00,71549.28333,3919342.322,3919342.322,1.00E-04
3-1-2019 13:00,71549.81048,2893066.246,2893066.246,1.00E-04
3-1-2019 14:00,71550.3462,3405874.878,3405874.878,1.00E-04
3-1-2019 15:00,71550.89048,3543749.202,3543749.202,1.00E-04
3-1-2019 16:00,71551.44333,3413979.996,3413979.996,1.00E-04
3-1-2019 17:00,71552.00474,3532629.219,3532629.219,1.00E-04
3-1-2019 18:00,71552.57472,3436795.796,3436795.796,1.00E-04
3-1-2019 19:00,71553.15326,3120205.809,3120205.809,1.00E-04
3-1-2019 20:00,71553.74036,2584117.984,2584117.984,1.00E-04
3-1-2019 21:00,71554.33603,1679693.708,1679693.708,1.00E-04
3-1-2019 22:00,71554.94027,793674.441,793674.441,1.00E-04
3-1-2019 23:00,71555.55306,343259.385,343259.385,1.00E-04
4-1-2019 00:00,71556.17442,142154.18,142154.18,1.00E-04
4-1-2019 01:00,71556.80434,49769.146,49769.146,1.00E-04
4-1-2019 02:00,71557.44283,35145.523,35145.523,1.00E-04
4-1-2019 03:00,71558.08987,78217.51,78217.51,1.00E-04
4-1-2019 04:00,71558.74548,346843.728,346843.728,1.00E-04
4-1-2019 05:00,71559.40965,1516143.307,1516143.307,1.00E-04
4-1-2019 06:00,71560.08238,3051205.752,3051205.752,1.00E-04
