DateTime,CoolingDemand_A,CoolingDemand_C,CoolingDemand_E,CoolingDemand_F,CoolingDemand_G,CoolingDemand_H,HeatingDemand_A,HeatingDemand_B,HeatingDemand_C,HeatingDemand_D,HeatingDemand_E,HeatingDemand_F,HeatingDemand_G,HeatingDemand_H
31-12-2018 23:00,7153333.333,7153333.333,7153333.333,7153333.333,7153333.333,7153333.333,0.050329049,0.050329049,0.050329049,0.050329049,0.050329049,0.050329049,0.050329049,0.050329049
01-01-2019 00:00,7153333.762,7153333.762,7153333.762,7153333.762,7153333.762,7153333.762,0.019461529,0.019461529,0.019461529,0.019461529,0.019461529,0.019461529,0.019461529,0.019461529
01-01-2019 01:00,7153335.048,7153335.048,7153335.048,7153335.048,7153335.048,7153335.048,0.005371142,0.005371142,0.005371142,0.005371142,0.005371142,0.005371142,0.005371142,0.005371142
01-01-2019 02:00,7153337.192,7153337.192,7153337.192,7153337.192,7153337.192,7153337.192,0.002531358,0.002531358,0.002531358,0.002531358,0.002531358,0.002531358,0.002531358,0.002531358
01-01-2019 03:00,7153340.193,7153340.193,7153340.193,7153340.193,7153340.193,7153340.193,0.006376971,0.006376971,0.006376971,0.006376971,0.006376971,0.006376971,0.006376971,0.006376971
01-01-2019 04:00,7153344.051,7153344.051,7153344.051,7153344.051,7153344.051,7153344.051,0.039930779,0.039930779,0.039930779,0.039930779,0.039930779,0.039930779,0.039930779,0.039930779
01-01-2019 05:00,7153348.767,7153348.767,7153348.767,7153348.767,7153348.767,7153348.767,0.189693727,0.189693727,0.189693727,0.189693727,0.189693727,0.189693727,0.189693727,0.189693727
01-01-2019 06:00,7153354.34,7153354.34,7153354.34,7153354.34,7153354.34,7153354.34,0.398271631,0.398271631,0.398271631,0.398271631,0.398271631,0.398271631,0.398271631,0.398271631
01-01-2019 07:00,7153360.771,7153360.771,7153360.771,7153360.771,7153360.771,7153360.771,0.545202955,0.545202955,0.545202955,0.545202955,0.545202955,0.545202955,0.545202955,0.545202955
01-01-2019 08:00,7153368.059,7153368.059,7153368.059,7153368.059,7153368.059,7153368.059,0.664203859,0.664203859,0.664203859,0.664203859,0.664203859,0.664203859,0.664203859,0.664203859
01-01-2019 09:00,7153376.205,7153376.205,7153376.205,7153376.205,7153376.205,7153376.205,0.552707393,0.552707393,0.552707393,0.552707393,0.552707393,0.552707393,0.552707393,0.552707393
01-01-2019 10:00,7153385.208,7153385.208,7153385.208,7153385.208,7153385.208,7153385.208,0.51662341,0.51662341,0.51662341,0.51662341,0.51662341,0.51662341,0.51662341,0.51662341
01-01-2019 11:00,7153395.068,7153395.068,7153395.068,7153395.068,7153395.068,7153395.068,0.639689954,0.639689954,0.639689954,0.639689954,0.639689954,0.639689954,0.639689954,0.639689954
01-01-2019 12:00,7153405.786,7153405.786,7153405.786,7153405.786,7153405.786,7153405.786,0.54726439,0.54726439,0.54726439,0.54726439,0.54726439,0.54726439,0.54726439,0.54726439
01-01-2019 13:00,7153417.361,7153417.361,7153417.361,7153417.361,7153417.361,7153417.361,0.462136528,0.462136528,0.462136528,0.462136528,0.462136528,0.462136528,0.462136528,0.462136528
01-01-2019 14:00,7153429.794,7153429.794,7153429.794,7153429.794,7153429.794,7153429.794,0.49566353,0.49566353,0.49566353,0.49566353,0.49566353,0.49566353,0.49566353,0.49566353
01-01-2019 15:00,7153443.084,7153443.084,7153443.084,7153443.084,7153443.084,7153443.084,0.50413802,0.50413802,0.50413802,0.50413802,0.50413802,0.50413802,0.50413802,0.50413802
01-01-2019 16:00,7153457.231,7153457.231,7153457.231,7153457.231,7153457.231,7153457.231,0.477233502,0.477233502,0.477233502,0.477233502,0.477233502,0.477233502,0.477233502,0.477233502
01-01-2019 17:00,7153472.236,7153472.236,7153472.236,7153472.236,7153472.236,7153472.236,0.500550865,0.500550865,0.500550865,0.500550865,0.500550865,0.500550865,0.500550865,0.500550865
01-01-2019 18:00,7153488.098,7153488.098,7153488.098,7153488.098,7153488.098,7153488.098,0.485878609,0.485878609,0.485878609,0.485878609,0.485878609,0.485878609,0.485878609,0.485878609
01-01-2019 19:00,7153504.817,7153504.817,7153504.817,7153504.817,7153504.817,7153504.817,0.436978888,0.436978888,0.436978888,0.436978888,0.436978888,0.436978888,0.436978888,0.436978888
01-01-2019 20:00,7153522.394,7153522.394,7153522.394,7153522.394,7153522.394,7153522.394,0.360554953,0.360554953,0.360554953,0.360554953,0.360554953,0.360554953,0.360554953,0.360554953
01-01-2019 21:00,7153540.828,7153540.828,7153540.828,7153540.828,7153540.828,7153540.828,0.234138179,0.234138179,0.234138179,0.234138179,0.234138179,0.234138179,0.234138179,0.234138179
01-01-2019 22:00,7153560.119,7153560.119,7153560.119,7153560.119,7153560.119,7153560.119,0.111812117,0.111812117,0.111812117,0.111812117,0.111812117,0.111812117,0.111812117,0.111812117
01-01-2019 23:00,7153580.268,7153580.268,7153580.268,7153580.268,7153580.268,7153580.268,0.048379859,0.048379859,0.048379859,0.048379859,0.048379859,0.048379859,0.048379859,0.048379859
01-02-2019 00:00,7153601.274,7153601.274,7153601.274,7153601.274,7153601.274,7153601.274,0.019428271,0.019428271,0.019428271,0.019428271,0.019428271,0.019428271,0.019428271,0.019428271
01-02-2019 01:00,7153623.137,7153623.137,7153623.137,7153623.137,7153623.137,7153623.137,0.006310747,0.006310747,0.006310747,0.006310747,0.006310747,0.006310747,0.006310747,0.006310747
01-02-2019 02:00,7153645.858,7153645.858,7153645.858,7153645.858,7153645.858,7153645.858,0.003488399,0.003488399,0.003488399,0.003488399,0.003488399,0.003488399,0.003488399,0.003488399
01-02-2019 03:00,7153669.436,7153669.436,7153669.436,7153669.436,7153669.436,7153669.436,0.009135712,0.009135712,0.009135712,0.009135712,0.009135712,0.009135712,0.009135712,0.009135712
01-02-2019 04:00,7153693.871,7153693.871,7153693.871,7153693.871,7153693.871,7153693.871,0.044403937,0.044403937,0.044403937,0.044403937,0.044403937,0.044403937,0.044403937,0.044403937
01-02-2019 05:00,7153719.163,7153719.163,7153719.163,7153719.163,7153719.163,7153719.163,0.208010815,0.208010815,0.208010815,0.208010815,0.208010815,0.208010815,0.208010815,0.208010815
01-02-2019 06:00,7153745.313,7153745.313,7153745.313,7153745.313,7153745.313,7153745.313,0.42089549,0.42089549,0.42089549,0.42089549,0.42089549,0.42089549,0.42089549,0.42089549
01-02-2019 07:00,7153772.32,7153772.32,7153772.32,7153772.32,7153772.32,7153772.32,0.562652669,0.562652669,0.562652669,0.562652669,0.562652669,0.562652669,0.562652669,0.562652669
01-02-2019 08:00,7153800.184,7153800.184,7153800.184,7153800.184,7153800.184,7153800.184,0.679147921,0.679147921,0.679147921,0.679147921,0.679147921,0.679147921,0.679147921,0.679147921
01-02-2019 09:00,7153828.905,7153828.905,7153828.905,7153828.905,7153828.905,7153828.905,0.541377445,0.541377445,0.541377445,0.541377445,0.541377445,0.541377445,0.541377445,0.541377445
01-02-2019 10:00,7153858.484,7153858.484,7153858.484,7153858.484,7153858.484,7153858.484,0.519032215,0.519032215,0.519032215,0.519032215,0.519032215,0.519032215,0.519032215,0.519032215
01-02-2019 11:00,7153888.919,7153888.919,7153888.919,7153888.919,7153888.919,7153888.919,0.634940763,0.634940763,0.634940763,0.634940763,0.634940763,0.634940763,0.634940763,0.634940763
01-02-2019 12:00,7153920.212,7153920.212,7153920.212,7153920.212,7153920.212,7153920.212,0.56137586,0.56137586,0.56137586,0.56137586,0.56137586,0.56137586,0.56137586,0.56137586
01-02-2019 13:00,7153952.362,7153952.362,7153952.362,7153952.362,7153952.362,7153952.362,0.461387204,0.461387204,0.461387204,0.461387204,0.461387204,0.461387204,0.461387204,0.461387204
01-02-2019 14:00,7153985.369,7153985.369,7153985.369,7153985.369,7153985.369,7153985.369,0.491492373,0.491492373,0.491492373,0.491492373,0.491492373,0.491492373,0.491492373,0.491492373
01-02-2019 15:00,7154019.233,7154019.233,7154019.233,7154019.233,7154019.233,7154019.233,0.499763615,0.499763615,0.499763615,0.499763615,0.499763615,0.499763615,0.499763615,0.499763615
01-02-2019 16:00,7154053.954,7154053.954,7154053.954,7154053.954,7154053.954,7154053.954,0.47286208,0.47286208,0.47286208,0.47286208,0.47286208,0.47286208,0.47286208,0.47286208
01-02-2019 17:00,7154089.532,7154089.532,7154089.532,7154089.532,7154089.532,7154089.532,0.496882406,0.496882406,0.496882406,0.496882406,0.496882406,0.496882406,0.496882406,0.496882406
01-02-2019 18:00,7154125.967,7154125.967,7154125.967,7154125.967,7154125.967,7154125.967,0.476811477,0.476811477,0.476811477,0.476811477,0.476811477,0.476811477,0.476811477,0.476811477
01-02-2019 19:00,7154163.26,7154163.26,7154163.26,7154163.26,7154163.26,7154163.26,0.435859797,0.435859797,0.435859797,0.435859797,0.435859797,0.435859797,0.435859797,0.435859797
01-02-2019 20:00,7154201.409,7154201.409,7154201.409,7154201.409,7154201.409,7154201.409,0.360541095,0.360541095,0.360541095,0.360541095,0.360541095,0.360541095,0.360541095,0.360541095
01-02-2019 21:00,7154240.415,7154240.415,7154240.415,7154240.415,7154240.415,7154240.415,0.234457849,0.234457849,0.234457849,0.234457849,0.234457849,0.234457849,0.234457849,0.234457849
01-02-2019 22:00,7154280.279,7154280.279,7154280.279,7154280.279,7154280.279,7154280.279,0.110798835,0.110798835,0.110798835,0.110798835,0.110798835,0.110798835,0.110798835,0.110798835
01-02-2019 23:00,7154320.999,7154320.999,7154320.999,7154320.999,7154320.999,7154320.999,0.047974401,0.047974401,0.047974401,0.047974401,0.047974401,0.047974401,0.047974401,0.047974401
01-03-2019 00:00,7154362.576,7154362.576,7154362.576,7154362.576,7154362.576,7154362.576,0.019739858,0.019739858,0.019739858,0.019739858,0.019739858,0.019739858,0.019739858,0.019739858
01-03-2019 01:00,7154405.01,7154405.01,7154405.01,7154405.01,7154405.01,7154405.01,0.006558014,0.006558014,0.006558014,0.006558014,0.006558014,0.006558014,0.006558014,0.006558014
01-03-2019 02:00,7154448.301,7154448.301,7154448.301,7154448.301,7154448.301,7154448.301,0.004095333,0.004095333,0.004095333,0.004095333,0.004095333,0.004095333,0.004095333,0.004095333
01-03-2019 03:00,7154492.449,7154492.449,7154492.449,7154492.449,7154492.449,7154492.449,0.009698575,0.009698575,0.009698575,0.009698575,0.009698575,0.009698575,0.009698575,0.009698575
01-03-2019 04:00,7154537.453,7154537.453,7154537.453,7154537.453,7154537.453,7154537.453,0.046215446,0.046215446,0.046215446,0.046215446,0.046215446,0.046215446,0.046215446,0.046215446
01-03-2019 05:00,7154583.315,7154583.315,7154583.315,7154583.315,7154583.315,7154583.315,0.210114138,0.210114138,0.210114138,0.210114138,0.210114138,0.210114138,0.210114138,0.210114138
01-03-2019 06:00,7154630.033,7154630.033,7154630.033,7154630.033,7154630.033,7154630.033,0.428649595,0.428649595,0.428649595,0.428649595,0.428649595,0.428649595,0.428649595,0.428649595
01-03-2019 07:00,7154677.608,7154677.608,7154677.608,7154677.608,7154677.608,7154677.608,0.573832993,0.573832993,0.573832993,0.573832993,0.573832993,0.573832993,0.573832993,0.573832993
01-03-2019 08:00,7154726.039,7154726.039,7154726.039,7154726.039,7154726.039,7154726.039,0.688455907,0.688455907,0.688455907,0.688455907,0.688455907,0.688455907,0.688455907,0.688455907
01-03-2019 09:00,7154775.328,7154775.328,7154775.328,7154775.328,7154775.328,7154775.328,0.561987952,0.561987952,0.561987952,0.561987952,0.561987952,0.561987952,0.561987952,0.561987952
01-03-2019 10:00,7154825.473,7154825.473,7154825.473,7154825.473,7154825.473,7154825.473,0.422583027,0.422583027,0.422583027,0.422583027,0.422583027,0.422583027,0.422583027,0.422583027
01-03-2019 11:00,7154876.475,7154876.475,7154876.475,7154876.475,7154876.475,7154876.475,0.614018054,0.614018054,0.614018054,0.614018054,0.614018054,0.614018054,0.614018054,0.614018054
01-03-2019 12:00,7154928.333,7154928.333,7154928.333,7154928.333,7154928.333,7154928.333,0.559906046,0.559906046,0.559906046,0.559906046,0.559906046,0.559906046,0.559906046,0.559906046
01-03-2019 13:00,7154981.048,7154981.048,7154981.048,7154981.048,7154981.048,7154981.048,0.413295178,0.413295178,0.413295178,0.413295178,0.413295178,0.413295178,0.413295178,0.413295178
01-03-2019 14:00,7155034.62,7155034.62,7155034.62,7155034.62,7155034.62,7155034.62,0.486553554,0.486553554,0.486553554,0.486553554,0.486553554,0.486553554,0.486553554,0.486553554
